,French,English
0,chercher,search
1,pensais,thought
2,aide,help
3,demande,request
4,laisser,let
5,car,because
6,mettre,to put
7,aucun,no
8,eux,them
9,ville,city
10,parlé,speak
11,arrivé,come
12,vont,will
13,pendant,while
14,place,square
15,parle,speak
16,savais,knew
17,étaient,were
18,attention,Warning
19,pourrais,could
20,donner,give
21,type,type
22,endroit,place
23,yeux,eyes
24,façon,way
25,écoute,listen
26,dont,whose
27,pouvoir,power
28,sois,be
29,tiens,here
30,tellement,so much
31,pardon,sorry
32,chambre,bedroom
33,mis,placed
34,belle,beautiful
35,aimerais,would like to
36,aujourd'hui,today
37,cause,cause
38,enfin,finally
39,espère,hope
40,attendez,Wait
41,parti,left
42,nouvelle,new
43,boulot,job
44,loin,far
45,chérie,sweetheart
46,gros,large
47,filles,girls
48,jouer,to play
